"","timestamp","age","gender","country","education","earn_amount_to_be_rich","are_you_rich","number_of_rich_in_circle","number_of_poor_in_circle"
"35","2019/08/02 3:41:53 PM GMT+2",19,"Male","Spain",7,"50,000 - 60,000","Moderate",0,"2"
"36","2019/08/02 3:42:15 PM GMT+2",24,"Male","Estonia",21,"30,000 - 40,000","Poor",2,"0"
"37","2019/08/02 3:42:29 PM GMT+2",21,"Male","Ireland",3,"80,000 - 90,000","Moderate",10,"6 billion"
"38","2019/08/02 3:42:41 PM GMT+2",26,"Female","United Kingdom",13,"70,000 - 80,000","Poor",1,"6"
"39","2019/08/02 3:42:45 PM GMT+2",18,"Male","Spain",8,"70,000 - 80,000","Moderate",6,"2"
"40","2019/08/02 3:43:02 PM GMT+2",22,"Male","Poland",11,"90,000 - 100,000","Poor",7,"30"
"41","2019/08/02 3:44:01 PM GMT+2",18,"Female","Germany",12,"60,000 - 70,000","Moderate",1,"0"
"42","2019/08/02 3:44:15 PM GMT+2",25,"Male","Portugal",17,"10,000 - 20,000","Moderate",5,"3"
"43","2019/08/02 3:44:28 PM GMT+2",23,"Male","Denmark",4,"60,000 - 70,000","Poor",0,"8"
"44","2019/08/02 3:44:36 PM GMT+2",27,"Male","Portugal",13,"50,000 - 60,000","Moderate",1,"5"
"45","2019/08/02 3:44:43 PM GMT+2",18,"Male","Poland",12,"70,000 - 80,000","Moderate",10,"20"
"46","2019/08/02 3:44:47 PM GMT+2",31,"Female","United Kingdom",15,"100,000+","Moderate",0,"5"
"47","2019/08/02 3:44:53 PM GMT+2",1996,"Male","Poland",15,"40,000 - 50,000","Moderate",2,"0"
"48","2019/08/02 3:45:12 PM GMT+2",1996,"Male","Poland",15,"40,000 - 50,000","Moderate",2,"0"
"49","2019/08/02 3:45:38 PM GMT+2",23,"Male","Italy",17,"50,000 - 60,000","Moderate",4,"4"
"50","2019/08/02 3:46:19 PM GMT+2",30,"Male","Portugal",17,"30,000 - 40,000","Moderate",3,"10"
"51","2019/08/02 3:46:40 PM GMT+2",36,"Male","Germany",21,"50,000 - 60,000","Poor",3,"5"
"52","2019/08/02 3:47:11 PM GMT+2",18,"Male","Estonia",11,"100,000+","Very Poor",1,"7"
"53","2019/08/02 3:47:14 PM GMT+2",39,"Male","Greece",12,"100,000+","Poor",5,"20"
"54","2019/08/02 3:47:15 PM GMT+2",29,"Male","Greece",16,"100,000+","Poor",10,"20"
"55","2019/08/02 3:47:16 PM GMT+2",32,"Female","Greece",17,"30,000 - 40,000","Moderate",4,"2"
"56","2019/08/02 3:47:17 PM GMT+2",22,"Male","Belgium",17,"50,000 - 60,000","Moderate",5,"23"
"57","2019/08/02 3:47:22 PM GMT+2",34,"Male","Netherlands",20,"50,000 - 60,000","Rich",10,"3"
"58","2019/08/02 3:48:05 PM GMT+2",39,"Male","Greece",12,"100,000+","Poor",5,"20"
"59","2019/08/02 3:48:49 PM GMT+2",24,"Male","Greece",19,"100,000+","Moderate",2,"20"
"60","2019/08/02 3:49:13 PM GMT+2",20,"Male","Sweden",12,"60,000 - 70,000","Poor",0,"0"
"61","2019/08/02 3:49:22 PM GMT+2",29,"Male","Portugal",12,"20,000 - 30,000","Poor",30,"10"
"62","2019/08/02 3:49:34 PM GMT+2",25,"Female","Latvia",15,"90,000 - 100,000","Moderate",0,"16"
"63","2019/08/02 3:49:39 PM GMT+2",34,"Female","Germany",16,"100,000+","Moderate",5,"10"
"64","2019/08/02 3:50:06 PM GMT+2",24,"Female","Poland",17,"50,000 - 60,000","Moderate",4,"1"
"65","2019/08/02 3:50:21 PM GMT+2",32,"Female","Spain",6,"80,000 - 90,000","Poor",0,"2"
"66","2019/08/02 3:50:23 PM GMT+2",32,"Female","United Kingdom",17,"60,000 - 70,000","Poor",10,"30"
"67","2019/08/02 3:50:47 PM GMT+2",21,"Male","Belgium",19,"100,000+","Moderate",0,"2"
"68","2019/08/02 3:50:54 PM GMT+2",24,"Female","Italy",18,"100,000+","Moderate",4,"10"
"69","2019/08/02 3:51:13 PM GMT+2",44,"Female","United Kingdom",15,"50,000 - 60,000","Very Poor",10000,"4 000 000 000"
